handle,recipient,allocation_explanation
sage,xch1uhw7sje86s5zns3ffugwm3emcqd4hgefpt3d2e60y9x5uxj73yastr6cju,https://x.com/sage_wallet
tombepe,xch1f2cwxnrg4lu33xxqqmx74qgzy9e84clxew4cqzczmlu2r96a6g8qjvl6j8,https://x.com/bytesandblocks
circuitdao,xch1km3p4fu7pma0v3aadusk7qrtf4dgfsd28xmxd4pacsm2uj6wmgdq4dhcmc,https://x.com/Circuit_DAO
