reason,source,nft_id,original_name,metadata_urls
leading-underscore,namesdao,nft1umttlxmt6pxpmmaaqra95axexymp636mdmjxjtt6n4lx9mjt8mdsxfpnl4,_justhold,https://storage1.xchstorage.cyou/namesdao/_justhold-4096154.json|https://storage2.xchstorage.cyou/namesdao/_justhold-4096154.json|ipfs://bafyreiclmkjsgmvwiwbpwonppghy7htyxaofsiij66noijql5y2ej5fhre/metadata.json
leading-underscore,namesdao,nft1umv6ha3kf8c46hpp3rstdhdm4tyjketga4hk959ukqy72xytefysdu6cx0,__3333333,https://storage1.xchstorage.cyou/namesdao/__3333333-5643271.json|https://storage2.xchstorage.cyou/namesdao/__3333333-5643271.json|ipfs://bafyreictbwty35v2igclzm5tatodykat26bvf27sii72aanyk7jmhauugi/metadata.json
leading-underscore,namesdao,nft1umytwfdn47vxpf7vk2rhzlc6thjk4sfxtk20m226aj0xmxv0a96s5ezklh,_tripleunderscore,https://storage1.xchstorage.cyou/namesdao/_tripleunderscore-4094562.json|https://storage2.xchstorage.cyou/namesdao/_tripleunderscore-4094562.json|ipfs://bafyreiaowv7yso7oa3pct4qgjtmu5g2docfwstuhrnptoztsts6n42qtrm/metadata.json
leading-underscore,namesdao,nft1unw9u6np60ffe25x2fp9xkkh25q0ghz5efprn706sh7hmyl3p3sq8njxst,___spacebucks,https://storage1.xchstorage.cyou/namesdao/___spacebucks-4048119.json|ipfs://bafyreieazvih54lbl35fklfwkcdv43vp4ylb4er7bkw2v4mzkoae4rweae/metadata.json
leading-underscore,namesdao,nft1up6z4rtkw93ssnjh8mxrre694m0sc2ku2yg88zdhdus6ydahvuaqed38vt,___testexpsoon2310201,https://storage1.xchstorage.cyou/namesdao/___testexpsoon2310201-4397665.json|https://storage2.xchstorage.cyou/namesdao/___testexpsoon2310201-4397665.json|ipfs://bafyreicz3iobjjg6fvuitgdne4bsxzqzbg2trle27gqqpz7jzgcpurhmmy/metadata.json
leading-underscore,namesdao,nft1uphcjlznr3y2e6uyplf5r8jmrhdjpsfxyce7k3e76u287uccam4qu30lky,___aaaaaaa,https://storage1.xchstorage.cyou/namesdao/___aaaaaaa-4046290.json|ipfs://bafyreids4gysdu4s4vpfavog3ex7orepgkiwkcspouibc7okr6kgn4246u/metadata.json
leading-underscore,namesdao,nft1upt7wt5gk2lryzauusm8fqdqsnddy0jtu3uevylun6l8hj7x644q4vzatt,_new1234,https://storage1.xchstorage.cyou/namesdao/_new1234-4099465.json|https://storage2.xchstorage.cyou/namesdao/_new1234-4099465.json|ipfs://bafyreigkykggbqsnzjktvdf2dindoga5iu5sozh2nbeukr7cueeh4ws5hm/metadata.json
leading-underscore,namesdao,nft1uq2fvdr8yuy69fmjvdmuvd9r4dxame4x7aptvduqgde0rdaxwdwqne4jz4,_christmas,https://storage1.xchstorage.cyou/namesdao/_christmas-4110118.json|https://storage2.xchstorage.cyou/namesdao/_christmas-4110118.json|ipfs://bafyreianwtrnd3kj55qhwyxfiyyfzqakk2z5dw7s7nbazeetglw3acjdm4/metadata.json
leading-underscore,namesdao,nft1uq8f8ga7mvlxypjuz88p4tywegjcqll7y0t8znh9540xdw7kedjs8g2ler,___goodevening,https://storage1.xchstorage.cyou/namesdao/___goodevening-4080214.json|https://storage2.xchstorage.cyou/namesdao/___goodevening-4080214.json|ipfs://bafyreidcuuaree6mknm64v6bugltkop27umdbixqo6cctt2s6ibmfdb6xq/metadata.json
leading-underscore,namesdao,nft1uqlf8nruhln0zmemqzwuf0kgkh7mcyq2s3jk7m8cc5jelaezv0fsltugfp,___tokenist,https://storage1.xchstorage.cyou/namesdao/___tokenist-4107462.json|https://storage2.xchstorage.cyou/namesdao/___tokenist-4107462.json|ipfs://bafyreifyhamigctvhyczibx256xbqxiwpnzac4al5quegjjnqekzf56ory/metadata.json
leading-underscore,namesdao,nft1uspv5ahyf803tqm82tfdx35e7ceyr6p35rd40mqpmxpwx33w09uql9r830,___alibaba,https://storage1.xchstorage.cyou/namesdao/___alibaba-4233096.json|https://storage2.xchstorage.cyou/namesdao/___alibaba-4233096.json|ipfs://bafyreichn33aok2hw3ahqduhpsar6siowshuufftfwend6xczf64pe2jn4/metadata.json
leading-underscore,namesdao,nft1ut8veqdpde8nsn4m0r2xej60thrknp7t5qk4s7jmlyy09etd3e8qrvt59l,___amsterdamofasia,https://storage1.xchstorage.cyou/namesdao/___amsterdamofasia-4481861.json|https://storage2.xchstorage.cyou/namesdao/___amsterdamofasia-4481861.json|ipfs://bafyreia3gexginunjcky5oiekv6qmcnp7ge2sc5zwiqxwv6p22bp5dxhd4/metadata.json
leading-underscore,namesdao,nft1utav3lyhvwdw0nuc4eeqglpcxk5ke7vsz2u60khj09yekpqu0r7q2lz62k,___people,https://storage1.xchstorage.cyou/namesdao/___people-4526597.json|https://storage2.xchstorage.cyou/namesdao/___people-4526597.json|ipfs://bafyreidfg3ttlskwfqnekp46y7ytrl4m4flgg44neuya5rqvbajqad6gea/metadata.json
leading-underscore,namesdao,nft1utp9x46scly3xzyhl7rtk7c9u3ajepzjqv2xm4zesvzpa7f34hxq5tg5ma,_porridgeforbreakfastandporridgefordinner,https://storage1.xchstorage.cyou/namesdao/_porridgeforbreakfastandporridgefordinner-4091629.json|https://storage2.xchstorage.cyou/namesdao/_porridgeforbreakfastandporridgefordinner-4091629.json|ipfs://bafyreigd266magfewsesd2w2u4zrlfvicrzaudqbdegpaanglc5r6d6gay/metadata.json
leading-underscore,namesdao,nft1uu7mmg6q40wka2cqtf6qe9gq7vqqrudml82uup7d43vdmkk7k7qq9e3f7v,_ainekomacx,https://storage1.xchstorage.cyou/namesdao/_ainekomacx-4097388.json|https://storage2.xchstorage.cyou/namesdao/_ainekomacx-4097388.json|ipfs://bafyreib3wgkawy2vvndhhej74ncgtalgen2dbaj5vv5annldj7rhvajzee/metadata.json
